"sampleID","cell_type"
"cell_1","patient1","malignant"
"cell_2","patient1","malignant"
"cell_3","patient1","Tcell"
"cell_4","patient1","malignant"
"cell_5","patient1","NK"
"cell_6","patient1","Tcell"
"cell_7","patient1","Tcell"
"cell_8","patient1","Endo"
"cell_9","patient1","Macro"
"cell_10","patient1","Tcell"
"cell_11","patient1","malignant"
"cell_12","patient1","Endo"
"cell_13","patient1","malignant"
"cell_14","patient1","Tcell"
"cell_15","patient1","NK"
"cell_16","patient1","NK"
"cell_17","patient1","Tcell"
"cell_18","patient1","malignant"
"cell_19","patient1","Macro"
"cell_20","patient1","CAF"
"cell_21","patient1","Endo"
"cell_22","patient1","Tcell"
"cell_23","patient1","Tcell"
"cell_24","patient1","Tcell"
"cell_25","patient1","Tcell"
"cell_26","patient1","Tcell"
"cell_27","patient1","Tcell"
"cell_28","patient1","malignant"
"cell_29","patient1","malignant"
"cell_30","patient1","Macro"
"cell_31","patient1","Endo"
"cell_32","patient1","malignant"
"cell_33","patient1","Tcell"
"cell_34","patient1","NK"
"cell_35","patient1","Endo"
"cell_36","patient1","malignant"
"cell_37","patient1","Tcell"
"cell_38","patient1","malignant"
"cell_39","patient1","Endo"
"cell_40","patient1","malignant"
"cell_41","patient1","Tcell"
"cell_42","patient1","Tcell"
"cell_43","patient1","Tcell"
"cell_44","patient1","malignant"
"cell_45","patient1","Tcell"
"cell_46","patient1","Tcell"
"cell_47","patient1","Tcell"
"cell_48","patient1","malignant"
"cell_49","patient1","Tcell"
"cell_50","patient1","Macro"
"cell_51","patient1","Tcell"
"cell_52","patient1","malignant"
"cell_53","patient1","Tcell"
"cell_54","patient1","Endo"
"cell_55","patient1","CAF"
"cell_56","patient1","Tcell"
"cell_57","patient1","NK"
"cell_58","patient1","Endo"
"cell_59","patient1","malignant"
"cell_60","patient1","Tcell"
"cell_61","patient1","Tcell"
"cell_62","patient1","Tcell"
"cell_63","patient1","NK"
"cell_64","patient1","Tcell"
"cell_65","patient1","Tcell"
"cell_66","patient1","NK"
"cell_67","patient1","malignant"
"cell_68","patient1","Macro"
"cell_69","patient1","Macro"
"cell_70","patient1","Tcell"
"cell_71","patient1","Tcell"
"cell_72","patient1","Tcell"
"cell_73","patient1","Tcell"
"cell_74","patient1","CAF"
"cell_75","patient1","Tcell"
"cell_76","patient1","NK"
"cell_77","patient1","malignant"
"cell_78","patient1","Tcell"
"cell_79","patient1","Tcell"
"cell_80","patient1","malignant"
"cell_81","patient1","Tcell"
"cell_82","patient1","Tcell"
"cell_83","patient1","Macro"
"cell_84","patient1","CAF"
"cell_85","patient1","Tcell"
"cell_86","patient1","Tcell"
"cell_87","patient1","malignant"
"cell_88","patient1","Tcell"
"cell_89","patient1","malignant"
"cell_90","patient1","Tcell"
"cell_91","patient1","Tcell"
"cell_92","patient1","Tcell"
"cell_93","patient1","Macro"
